iter	Passed	Remaining
0	157	47130
1	171	25524
2	184	18297
3	195	14492
4	203	11990
5	210	10322
6	216	9060
7	221	8101
8	227	7370
9	232	6752
10	237	6242
11	243	5838
12	248	5479
13	252	5167
14	258	4906
15	263	4668
16	267	4456
17	272	4273
18	278	4112
19	283	3962
20	288	3831
21	293	3710
22	298	3595
23	303	3491
24	308	3394
25	313	3301
26	318	3217
27	323	3139
28	328	3066
29	332	2995
30	338	2941
31	344	2883
32	349	2828
33	354	2773
34	359	2721
35	364	2674
36	369	2626
37	374	2583
38	379	2541
39	384	2501
40	389	2462
41	395	2428
42	400	2392
43	405	2359
44	411	2330
45	416	2301
46	422	2275
47	427	2244
48	432	2213
49	437	2188
50	442	2161
51	447	2135
52	453	2111
53	458	2087
54	463	2064
55	468	2040
56	473	2020
57	478	1997
58	483	1975
59	489	1957
60	494	1936
61	498	1914
62	503	1895
63	508	1875
64	513	1856
65	518	1838
66	523	1820
67	528	1803
68	534	1790
69	539	1773
70	544	1757
71	550	1743
72	553	1720
73	557	1703
74	562	1688
75	568	1674
76	573	1660
77	578	1647
78	584	1634
79	589	1620
80	594	1606
81	599	1594
82	604	1581
83	609	1567
84	614	1555
85	619	1542
86	624	1529
87	630	1517
88	634	1505
89	639	1493
90	645	1482
91	650	1471
92	655	1459
93	660	1448
94	666	1437
95	670	1425
96	675	1414
97	681	1405
98	686	1394
99	691	1383
100	697	1373
101	702	1363
102	707	1352
103	713	1343
104	718	1333
105	723	1323
106	729	1314
107	734	1306
108	739	1295
109	744	1286
110	749	1277
111	754	1267
112	761	1259
113	766	1250
114	771	1240
115	776	1232
116	781	1222
117	786	1213
118	791	1204
119	796	1195
120	801	1185
121	806	1176
122	811	1167
123	816	1158
124	821	1150
125	826	1141
126	831	1133
127	836	1124
128	842	1116
129	847	1108
130	852	1099
131	857	1091
132	862	1083
133	867	1074
134	873	1067
135	878	1059
136	883	1050
137	889	1043
138	894	1035
139	899	1027
140	904	1020
141	909	1012
142	914	1004
143	920	997
144	925	989
145	930	981
146	935	973
147	940	965
148	945	958
149	950	950
150	956	944
151	961	936
152	966	928
153	972	921
154	977	914
155	981	906
156	988	900
157	993	893
158	998	885
159	1004	878
160	1009	871
161	1014	864
162	1019	857
163	1025	850
164	1030	843
165	1035	836
166	1040	828
167	1045	821
168	1050	814
169	1055	807
170	1060	799
171	1066	793
172	1071	786
173	1075	779
174	1080	771
175	1085	764
176	1090	757
177	1095	751
178	1100	743
179	1105	736
180	1110	730
181	1116	723
182	1121	717
183	1126	710
184	1132	704
185	1138	697
186	1143	691
187	1149	685
188	1155	678
189	1161	672
190	1166	665
191	1172	659
192	1178	653
193	1184	647
194	1189	640
195	1195	634
196	1201	628
197	1207	621
198	1213	615
199	1218	609
200	1224	603
201	1231	597
202	1236	591
203	1242	584
204	1248	578
205	1254	572
206	1260	566
207	1266	560
208	1271	553
209	1277	547
210	1283	541
211	1288	534
212	1294	528
213	1299	522
214	1305	515
215	1310	509
216	1316	503
217	1322	497
218	1328	491
219	1333	485
220	1339	478
221	1345	472
222	1350	466
223	1356	460
224	1361	453
225	1366	447
226	1370	440
227	1376	434
228	1381	428
229	1386	421
230	1391	415
231	1396	409
232	1401	403
233	1406	396
234	1411	390
235	1416	384
236	1421	377
237	1426	371
238	1431	365
239	1436	359
240	1441	352
241	1446	346
242	1451	340
243	1456	334
244	1461	328
245	1466	321
246	1473	316
247	1478	309
248	1483	303
249	1488	297
250	1493	291
251	1498	285
252	1503	279
253	1509	273
254	1515	267
255	1520	261
256	1525	255
257	1531	249
258	1536	243
259	1541	237
260	1547	231
261	1553	225
262	1559	219
263	1566	213
264	1573	207
265	1579	201
266	1587	196
267	1593	190
268	1599	184
269	1606	178
270	1613	172
271	1620	166
272	1627	160
273	1633	155
274	1640	149
275	1646	143
276	1654	137
277	1661	131
278	1668	125
279	1674	119
280	1681	113
281	1687	107
282	1693	101
283	1699	95
284	1705	89
285	1711	83
286	1718	77
287	1724	71
288	1730	65
289	1736	59
290	1743	53
291	1749	47
292	1755	41
293	1761	35
294	1769	29
295	1775	23
296	1781	17
297	1788	12
298	1794	6
299	1800	0
