Feature,Importance
nb_enfants_nes_vivants,45.747485075997155
age,8.435834703312928
taille_menage,6.351897917017717
age_premiere_naissance,5.664108792240195
statut_matrimonial,3.782226400257884
naissances_5ans,3.5991280708558957
niveau_education,3.206565150322959
quintile_richesse,2.9355085595102453
score_pb_acces_sante,1.9981872080641587
region_4,1.2897121632870758
pb_permission_sante,1.251068247661091
travaille_actuellement,1.215499737751934
grossesse_interrompue,1.0741387458306073
religion_2,1.0741131027914579
pb_distance_sante,1.0554762539987337
consultation_etablissement,0.9281940677571077
milieu_residence,0.9241162218338732
pb_aller_seule,0.8685579288428015
region_6,0.8322013243668821
region_7,0.698782575875899
region_8,0.6685918882419104
religion_1,0.6433461854343067
electricite,0.6351949134422507
religion_3,0.5592268653910203
pb_argent_sante,0.5547455057540027
religion_4,0.5542109285691175
visite_agent_sante,0.4703979772132976
region_5,0.40866857383779764
region_2,0.4029941327022403
region_9,0.3737743698901201
region_11,0.3338386880301873
region_10,0.312521077616021
region_3,0.23817501075880143
assurance_maladie,0.22618217499571835
region_12,0.20879017667611866
religion_5,0.20678328854792283
religion_7,0.17397335179773898
region_1,0.0751572889449337
religion_96,0.02062535457993258
