Feature,Importance
nb_enfants_nes_vivants,0.6978656665842942
taille_menage,0.062098255008475274
age,0.04832020852068896
age_premiere_naissance,0.03443186712587406
naissances_5ans,0.02600857858473003
statut_matrimonial,0.016770048884119055
quintile_richesse,0.012615495367385699
niveau_education,0.010996164307167185
score_pb_acces_sante,0.009290477954478592
region_4,0.007241289343941194
pb_argent_sante,0.007076089412404307
region_6,0.00538584782757552
grossesse_interrompue,0.004826311471972588
region_9,0.004051293083805479
religion_3,0.003882854887680551
travaille_actuellement,0.0036200662278316437
visite_agent_sante,0.0035610682536845917
consultation_etablissement,0.003356411118009103
pb_permission_sante,0.0031438837486091626
electricite,0.0030782408653112926
region_7,0.0029166293609427544
religion_4,0.0028802602316212217
religion_2,0.0027937280109595077
region_8,0.002354895418992498
region_5,0.002320173922135549
religion_5,0.0020089816443885408
region_10,0.0019946414471082893
religion_1,0.001985386568375487
region_1,0.001982365766644615
milieu_residence,0.0019465523141940241
religion_7,0.001807450470020671
region_11,0.001287565303213778
pb_distance_sante,0.0012576672598553073
pb_aller_seule,0.0011941817833628862
region_2,0.0011638337189621502
region_3,0.0008312981515458268
region_12,0.000828516785442158
assurance_maladie,0.0006090075762007872
religion_96,0.0002167456879952882
