Feature,Importance
age,1043
taille_menage,811
nb_enfants_nes_vivants,655
age_premiere_naissance,591
statut_matrimonial,520
quintile_richesse,368
niveau_education,330
score_pb_acces_sante,308
naissances_5ans,303
grossesse_interrompue,192
electricite,173
pb_argent_sante,156
region_4,134
travaille_actuellement,127
consultation_etablissement,123
religion_4,101
religion_2,98
pb_permission_sante,93
region_6,91
religion_1,85
milieu_residence,73
religion_3,69
visite_agent_sante,66
region_12,66
region_7,65
region_9,57
pb_aller_seule,57
pb_distance_sante,57
region_2,46
region_8,44
region_5,41
region_11,36
region_10,36
region_1,33
region_3,28
assurance_maladie,23
religion_5,23
religion_7,16
religion_96,5
