Feature,Importance
nb_enfants_nes_vivants,0.3617727778519633
age,0.18657472494633984
statut_matrimonial,0.09349416502098941
age_premiere_naissance,0.06431845340703918
niveau_education,0.06372271374815223
naissances_5ans,0.02898564325491583
quintile_richesse,0.02722910040542166
taille_menage,0.02316623651391141
score_pb_acces_sante,0.018381955290556348
electricite,0.018133896457378916
travaille_actuellement,0.018065749716833807
pb_argent_sante,0.013413379834373235
milieu_residence,0.010593062409994802
consultation_etablissement,0.00658944303139647
pb_permission_sante,0.005853063748262732
grossesse_interrompue,0.005315555468158248
pb_distance_sante,0.004736198638873874
region_4,0.004432579086565584
religion_4,0.004344126223352677
religion_2,0.004201643869049742
visite_agent_sante,0.0040461333631358455
religion_1,0.0040419218603257425
pb_aller_seule,0.003876172659728754
region_6,0.0027151083232825114
region_12,0.0025659355766597305
region_7,0.00237671923606887
region_2,0.002365755586361847
region_5,0.0023545250671217293
region_3,0.0020192660217044937
region_10,0.0019596520221354624
region_9,0.0019337670900802532
religion_3,0.001922671294986178
region_8,0.0016722326600335973
region_1,0.001477020112644367
assurance_maladie,0.0005383679384085666
region_11,0.0004313484229764697
religion_7,0.00020570324953874522
religion_5,0.00016134709432453063
religion_96,1.1883496953074142e-05
