Variable,Coefficient,OR,IC_inf_95,IC_sup_95,p_value,Significatif
age_prb_cat_Moins_18ans,1.6193906242446985,5.050012023849336,4.106391367339259,6.210470254701348,3.8554865933651495e-53,True
education_cat_Aucun,1.0904690442803933,2.9756694660302028,2.0387784318976307,4.3430951752922375,1.582116378143606e-08,True
age_prb_cat_18_19ans,0.970940394305697,2.6404263340900065,2.128452791399948,3.275548912301876,1.0578755737341765e-18,True
education_cat_Primaire,0.8317823771979875,2.2974099442457905,1.6065447133653894,3.285369157801341,5.172406045101374e-06,True
richesse_cat_Pauvre,0.46671039076361853,1.594739485247795,1.2539644765975186,2.028122864141297,0.00014177439773895833,True
education_cat_Secondaire,0.4009319988337621,1.4932157246367286,1.05496587513872,2.113521634061578,0.02370804983853679,True
richesse_cat_Moyen,0.4008899497729953,1.4931529376380617,1.222592091772526,1.8235891677859737,8.484463845076557e-05,True
richesse_cat_Tres_pauvre,0.39168915481226513,1.4794777513784352,1.1227406284489574,1.9495637383744164,0.005396653464167925,True
union_cat_Ex_union,0.36218680108812507,1.4364672505448617,1.2618974963435095,1.6351868260829105,4.285278146026627e-08,True
age_prb_cat_20_24ans,0.3349575134472794,1.3978809928162883,1.1310494538855107,1.7276620959094249,0.001938641534009227,True
region_cat_Extreme-Nord,0.3267525195536328,1.3864583133966215,1.104654084149605,1.7401525802228137,0.004824675104324015,True
richesse_cat_Riche,0.2676717557179323,1.30691808121345,1.091620883028041,1.5646777169237893,0.0035630098517291783,True
naissances_5ans,0.2157664543522073,1.2408125587860332,1.1676599908123355,1.3185480517920627,3.4138528359076285e-12,True
religion_cat_Autre_Chretien,0.1458785429991696,1.1570556470074427,0.9483881877426363,1.4116348005750528,0.15051719141753023,False
grossesse_interrompue,0.11576653128605568,1.122733718334769,0.9922967088123581,1.2703166211187955,0.06617478110957178,False
age,0.07542017913038206,1.0783371504736248,1.0709587665068456,1.0857663679100609,8.198127306166164e-103,True
milieu_cat_Rural,0.05921897281435533,1.0610075471134843,0.9198094895822875,1.223880627218798,0.4163609572142253,False
electricite,0.04997790657952906,1.0512478704582338,0.9010589626744954,1.2264703320444006,0.5251673499194544,False
region_cat_Nord-Ouest,0.02654139681327566,1.0268967566350875,0.8699910372217206,1.2121009339995243,0.753728729412719,False
religion_cat_Autre,0.02187931923040171,1.0221204267474135,0.7500084558457976,1.3929578508500338,0.8898197746730554,False
taille_menage,-0.004656439394977089,0.995354385011361,0.9840169776521274,1.0068224169518247,0.4256401872962078,False
region_cat_Sud,-0.017596375246044644,0.9825575368774674,0.7929971340615541,1.2174310244099542,0.8721682341385715,False
religion_cat_Animiste,-0.029216412325932677,0.9712062607162419,0.6998833637049992,1.3477125615061787,0.8612506119410794,False
religion_cat_Protestant,-0.06667654240144323,0.9354977462583719,0.8230494948616341,1.0633091189754253,0.3075064012370089,False
score_pb_acces_sante,-0.09380544001932978,0.9104598840672438,0.8765806620542947,0.9456485140261915,1.2448494224577415e-06,True
region_cat_Centre,-0.1051379289069371,0.9002003503726423,0.7198018794140588,1.1258107181807957,0.35683364718621646,False
religion_cat_Musulman,-0.13827512830466845,0.8708590608056781,0.7561448506576021,1.002976484105907,0.05501936639656259,False
region_cat_Sud-Ouest,-0.14009024378871052,0.8692797847577916,0.6581799494310584,1.1480862412198158,0.3236398240626803,False
visite_agent_sante,-0.15273652066275195,0.8583558510506524,0.7632415058511887,0.9653232448505503,0.010805163075759705,True
region_cat_Adamawa,-0.204699991765386,0.8148917539794525,0.639142241763569,1.0389683662144062,0.09862930243571846,False
emploi_cat_Non,-0.20748385304438596,0.8126263631089785,0.7214445049296997,0.91533250514407,0.0006334788118893624,True
region_cat_Est,-0.20968245016599157,0.8108416877360765,0.6270050732662242,1.0485788243240128,0.10996062408432383,False
consultation_etablissement,-0.26189132416343225,0.7695946555061208,0.6918813799479763,0.856036816351553,1.421365845914009e-06,True
region_cat_Autre,-0.26514580563291923,0.7670940951814678,0.5972770729835326,0.9851932670425779,0.037819293757870076,True
assurance_cat_Non,-0.2742307148510025,0.7601566755938579,0.5236625912229637,1.1034551276622993,0.1492402401174164,False
union_cat_Jamais_union,-0.3660210932359655,0.6934881731458042,0.5658932301298825,0.8498526235818797,0.00041836782043210756,True
region_cat_Ouest,-0.4679600471785357,0.6262785447526064,0.4896018283861765,0.8011097852928618,0.00019506525140882279,True
region_cat_Nord,-0.5974306267916903,0.5502235510997584,0.39890707770523415,0.7589385425959717,0.0002715452890549426,True
