Variable,VIF
education_cat_Aucun,6.73
education_cat_Primaire,6.5
education_cat_Secondaire,6.02
richesse_cat_Tres_pauvre,4.36
age_prb_cat_Moins_18ans,3.97
richesse_cat_Pauvre,3.91
region_cat_Autre,2.93
age_prb_cat_20_24ans,2.89
age_prb_cat_18_19ans,2.79
richesse_cat_Moyen,2.78
region_cat_Centre,2.67
region_cat_Sud-Ouest,2.67
electricite,2.51
region_cat_Est,2.38
region_cat_Sud,2.37
milieu_cat_Rural,2.17
region_cat_Nord,2.09
region_cat_Extreme-Nord,2.05
richesse_cat_Riche,1.94
religion_cat_Musulman,1.92
region_cat_Ouest,1.78
region_cat_Nord-Ouest,1.78
region_cat_Adamawa,1.73
age,1.49
naissances_5ans,1.47
religion_cat_Protestant,1.37
consultation_etablissement,1.29
union_cat_Jamais_union,1.22
score_pb_acces_sante,1.19
emploi_cat_Non,1.18
visite_agent_sante,1.17
religion_cat_Autre_Chretien,1.15
religion_cat_Animiste,1.15
taille_menage,1.14
union_cat_Ex_union,1.13
grossesse_interrompue,1.09
assurance_cat_Non,1.08
religion_cat_Autre,1.06
